127.0.0.1 - - [29/Aug/2019:10:20:36 +0000] "GET /2019/08/29/hello-world/ HTTP/1.0" 499 0 "http://portfolio.local/2019/08/29/hello-world/" "WordPress/5.2; http://portfolio.local"
127.0.0.1 - - [29/Aug/2019:10:20:41 +0000] "GET /index.php/2019/08/29/hello-world/ HTTP/1.0" 499 0 "http://portfolio.local/index.php/2019/08/29/hello-world/" "WordPress/5.2; http://portfolio.local"
127.0.0.1 - - [29/Aug/2019:10:20:46 +0000] "POST /wp-cron.php?doing_wp_cron=1567074045.3651800155639648437500 HTTP/1.0" 200 0 "http://portfolio.local/wp-cron.php?doing_wp_cron=1567074045.3651800155639648437500" "WordPress/5.2; http://portfolio.local"
127.0.0.1 - - [29/Aug/2019:11:44:45 +0000] "HEAD / HTTP/1.0" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
127.0.0.1 - - [29/Aug/2019:11:45:05 +0000] "HEAD / HTTP/1.0" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
127.0.0.1 - - [29/Aug/2019:11:45:34 +0000] "POST /wp-cron.php?doing_wp_cron=1567079133.7671339511871337890625 HTTP/1.0" 200 0 "http://portfolio.local/wp-cron.php?doing_wp_cron=1567079133.7671339511871337890625" "WordPress/5.2; http://portfolio.local"
127.0.0.1 - - [29/Aug/2019:11:45:34 +0000] "GET / HTTP/1.0" 200 10929 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
127.0.0.1 - - [29/Aug/2019:11:45:35 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://portfolio.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
127.0.0.1 - - [29/Aug/2019:11:46:58 +0000] "GET /wp-admin HTTP/1.0" 301 178 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
127.0.0.1 - - [29/Aug/2019:11:47:03 +0000] "GET /wp-admin/ HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
127.0.0.1 - - [29/Aug/2019:11:47:05 +0000] "GET /wp-login.php?redirect_to=http%3A%2F%2Fportfolio.local%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 3281 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
127.0.0.1 - - [29/Aug/2019:11:47:05 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://portfolio.local/wp-login.php?redirect_to=http%3A%2F%2Fportfolio.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
127.0.0.1 - - [29/Aug/2019:11:47:21 +0000] "POST /wp-login.php HTTP/1.0" 302 0 "http://portfolio.local/wp-login.php?redirect_to=http%3A%2F%2Fportfolio.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
